5 15 1 [0, 0, 0, 0, 1, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
5 16 1 [0, 0, 0, 0, 1, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
5 17 1 [0, 0, 0, 0, 1, 0, 0, 0, -1] 8 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
6 18 1 [-1, 0, 0, 0, 0, 1, 0, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
6 19 1 [0, -1, 0, 0, 0, 1, 0, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
6 20 1 [0, 0, -1, 0, 0, 1, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
6 21 1 [0, 0, 0, -1, 0, 1, 0, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
6 22 1 [0, 0, 0, 0, -1, 1, 0, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
6 23 1 [0, 0, 0, 0, 0, 1, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
6 24 1 [0, 0, 0, 0, 0, 1, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
6 25 1 [0, 0, 0, 0, 0, 1, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
26 193 -1 [1, -1, 1, 0, 0, 0, 0, 0, 0] 2 {'N': 391, 'W': 335, 'Q': 0.8567774936061381, 'P': None}
26 194 -1 [1, -1, 0, 1, 0, 0, 0, 0, 0] 3 {'N': 436, 'W': 412, 'Q': 0.944954128440367, 'P': None}
26 195 -1 [1, -1, 0, 0, 1, 0, 0, 0, 0] 4 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
26 196 -1 [1, -1, 0, 0, 0, 1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
26 197 -1 [1, -1, 0, 0, 0, 0, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
26 198 -1 [1, -1, 0, 0, 0, 0, 0, 1, 0] 7 {'N': 1, 'W': 0, 'Q': 0.0, 'P': None}
26 199 -1 [1, -1, 0, 0, 0, 0, 0, 0, 1] 8 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
27 179 -1 [1, 1, -1, 0, 0, 0, 0, 0, 0] 1 {'N': 408, 'W': 380, 'Q': 0.9313725490196079, 'P': None}
27 180 -1 [1, 0, -1, 1, 0, 0, 0, 0, 0] 3 {'N': 402, 'W': 382, 'Q': 0.9502487562189055, 'P': None}
27 181 -1 [1, 0, -1, 0, 1, 0, 0, 0, 0] 4 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
27 182 -1 [1, 0, -1, 0, 0, 1, 0, 0, 0] 5 {'N': 2, 'W': 1, 'Q': 0.5, 'P': None}
27 183 -1 [1, 0, -1, 0, 0, 0, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
27 184 -1 [1, 0, -1, 0, 0, 0, 0, 1, 0] 7 {'N': 1, 'W': 0, 'Q': 0.0, 'P': None}
27 185 -1 [1, 0, -1, 0, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
28 186 -1 [1, 1, 0, -1, 0, 0, 0, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
28 187 -1 [1, 0, 1, -1, 0, 0, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
28 188 -1 [1, 0, 0, -1, 1, 0, 0, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
28 189 -1 [1, 0, 0, -1, 0, 1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
28 190 -1 [1, 0, 0, -1, 0, 0, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
28 191 -1 [1, 0, 0, -1, 0, 0, 0, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
28 192 -1 [1, 0, 0, -1, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 120 -1 [1, 1, 0, 0, -1, 0, 0, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 121 -1 [1, 0, 1, 0, -1, 0, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 122 -1 [1, 0, 0, 1, -1, 0, 0, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 123 -1 [1, 0, 0, 0, -1, 1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
