6 39 1 [0, 0, 0, 0, 0, -1, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
6 40 1 [0, 0, 0, 0, 0, -1, 0, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
6 41 1 [0, 0, 0, 0, 0, -1, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
7 18 1 [1, 0, 0, 0, 0, 0, -1, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
7 19 1 [0, 1, 0, 0, 0, 0, -1, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
7 20 1 [0, 0, 1, 0, 0, 0, -1, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
7 21 1 [0, 0, 0, 1, 0, 0, -1, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
7 22 1 [0, 0, 0, 0, 1, 0, -1, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
7 23 1 [0, 0, 0, 0, 0, 1, -1, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
7 24 1 [0, 0, 0, 0, 0, 0, -1, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
7 25 1 [0, 0, 0, 0, 0, 0, -1, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
49 147 -1 [-1, 1, -1, 1, -1, 1, -1, 0, 0] 2 {'N': 275, 'W': -233, 'Q': -0.8472727272727273, 'P': None}
49 148 -1 [-1, 1, 1, -1, 1, 1, -1, -1, -1] 3 {'N': 291, 'W': -279, 'Q': -0.9587628865979382, 'P': None}
49 149 -1 [-1, 1, -1, 1, -1, 1, -1, -1, 1] 4 {'N': 251, 'W': -234, 'Q': -0.9322709163346613, 'P': None}
49 150 -1 [-1, 1, -1, 1, -1, -1, 1, 1, -1] 5 {'N': 3, 'W': -1, 'Q': -0.3333333333333333, 'P': None}
49 151 -1 [-1, 1, 0, 0, 0, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
49 152 -1 [-1, 1, 0, 0, 0, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
49 153 -1 [-1, 1, 0, 0, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
50 79 -1 [-1, -1, 1, 1, 1, -1, -1, 1, -1] 1 {'N': 436, 'W': -419, 'Q': -0.9610091743119266, 'P': None}
50 80 -1 [-1, 1, 1, -1, -1, 0, 1, 0, -1] 3 {'N': 420, 'W': -404, 'Q': -0.9619047619047619, 'P': None}
50 81 -1 [-1, 0, 1, 0, -1, 0, 0, 1, -1] 4 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
50 82 -1 [-1, 0, 1, 0, 0, -1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
50 83 -1 [-1, 1, 1, 1, 1, -1, -1, -1, -1] 6 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
50 84 -1 [-1, 0, 1, 1, -1, 1, -1, -1, 1] 7 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
50 85 -1 [-1, 0, 1, 0, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
51 218 -1 [-1, -1, 0, 1, 0, 0, 0, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
51 219 -1 [-1, 0, -1, 1, 0, 0, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
51 220 -1 [-1, 0, 0, 1, -1, 0, 0, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
51 221 -1 [-1, 0, 0, 1, 0, -1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
51 222 -1 [-1, 0, 0, 1, 0, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
51 223 -1 [-1, 0, 0, 1, 0, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
51 224 -1 [-1, 0, 0, 1, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
52 199 -1 [-1, -1, 0, 0, 1, 0, 0, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
52 200 -1 [-1, 0, -1, 0, 1, 0, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
52 201 -1 [-1, 0, 0, -1, 1, 0, 0, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
52 202 -1 [-1, 0, 0, 0, 1, -1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
